Jan 30, 2018,MINN,80,IOWA,94,L,-4.5,L,154.5,O
Jan 23, 2018,NWEST,77,MINN,69,L,-2.0,L,139.0,O
Jan 20, 2018,OHIOS,67,MINN,49,L,+9.0,L,146.5,U
Jan 18, 2018,MINN,66,MARYL,77,L,-8.0,L,148.0,U
Jan 15, 2018,MINN,95,PENST,84,W,-8.0,W,146.0,O
Jan 13, 2018,PURDU,81,MINN,47,L,+8.5,L,152.5,U
Jan 10, 2018,MINN,60,NWEST,83,L,-4.0,L,144.0,U
Jan 6, 2018,INDY,75,MINN,71,L,-8.0,L,149.5,U
Jan 3, 2018,ILL,67,MINN,77,W,-8.5,W,151.0,U
Jan 28, 2017,MARYL,85,MINN,78,L,-4.5,L,137.0,O
Jan 25, 2017,MINN,72,OHIOS,78,L,-3.5,L,140.0,O
Jan 21, 2017,WISCN,78,MINN,76,L,+4.5,W,132.0,O
Jan 14, 2017,MINN,50,PENST,52,L,-1.0,L,143.0,U
Jan 11, 2017,MINN,47,MICHS,65,L,-3.5,L,139.5,U
Jan 8, 2017,OHIOS,68,MINN,78,W,-5.5,W,139.5,O
Jan 5, 2017,MINN,70,NWEST,66,W,-4.0,W,139.5,U
Jan 1, 2017,MINN,91,PURDU,82,W,-13.5,W,140.5,O
Jan 30, 2016,MINN,68,INDY,74,L,-19.0,W,149.5,U
Jan 27, 2016,PURDU,68,MINN,64,L,+14.0,W,141.5,U
Jan 23, 2016,ILL,76,MINN,71,L,+2.0,L,145.0,O
Jan 20, 2016,MINN,69,MICH,74,L,-16.0,W,141.0,O
Jan 16, 2016,INDY,70,MINN,63,L,+11.0,W,152.5,U
Jan 12, 2016,MINN,59,NEBRS,84,L,-8.0,L,140.0,O
Jan 9, 2016,NWEST,77,MINN,52,L,+2.5,L,139.5,U
Jan 5, 2016,MINN,77,PENST,86,L,-6.0,L,133.0,O
Jan 2, 2016,MICHS,69,MINN,61,L,+9.0,W,144.5,U
Jan 31, 2015,NEBRS,42,MINN,60,W,-7.0,W,128.5,U
Jan 28, 2015,MINN,58,PENST,63,L,+1.5,L,136.5,U
Jan 24, 2015,ILL,71,MINN,79,W,-7.0,W,138.5,O
Jan 20, 2015,MINN,49,NEBRS,52,L,-2.0,L,129.5,U
