Mar 9, 2018,SMU,51,CINCY,61,L,-15.5,W,125.0,U
Mar 8, 2018,SMU,80,UCONN,73,W,+1.5,W,130.0,O
Mar 4, 2018,SMU,54,S.FLA,65,L,+8.0,L,127.5,U
Mar 17, 2017,USC,66,SMU,65,L,-7.0,L,140.0,U
Mar 12, 2017,CINCY,56,SMU,71,W,-1.0,W,127.5,U
Mar 11, 2017,UCF,59,SMU,70,W,-8.0,W,128.0,O
Mar 10, 2017,E.CAR,77,SMU,81,W,-19.0,L,128.5,O
Mar 4, 2017,MEMPH,62,SMU,103,W,-13.5,W,135.5,O
Mar 2, 2017,TULSA,70,SMU,93,W,-17.0,W,132.5,O
Mar 6, 2016,SMU,54,CINCY,61,L,-1.5,L,131.5,U
Mar 3, 2016,UCONN,54,SMU,80,W,-4.5,W,133.0,O
Mar 19, 2015,UCLA,60,SMU,59,L,-4.0,L,132.0,U
Mar 15, 2015,UCONN,54,SMU,62,W,-3.5,W,121.5,U
Mar 14, 2015,TEMPL,56,SMU,69,W,-4.0,W,127.0,U
Mar 13, 2015,E.CAR,68,SMU,74,W,-14.5,L,125.0,O
Mar 8, 2015,TULSA,62,SMU,67,W,-8.5,L,124.0,O
Mar 1, 2015,SMU,73,UCONN,81,L,+1.5,L,121.5,O
Mar 26, 2014,CAL,65,SMU,67,W,-8.5,L,138.5,U
Mar 24, 2014,LSU,67,SMU,80,W,-7.0,W,141.5,O
Mar 19, 2014,UCI,54,SMU,68,W,-10.0,W,131.5,U
Mar 13, 2014,HOUST,68,SMU,64,L,-10.0,L,138.5,U
Mar 8, 2014,SMU,58,MEMPH,67,L,-4.0,L,139.0,U
Mar 5, 2014,LOUIS,84,SMU,71,L,+3.5,L,136.5,O
Mar 1, 2014,UCF,55,SMU,70,W,-14.5,W,138.0,U
Mar 13, 2013,SMU,52,UAB,53,L,-3.0,W,129.5,U
Mar 9, 2013,UTEP,76,SMU,63,L,+1.5,L,116.0,O
Mar 6, 2013,SMU,71,TULSA,65,W,-3.5,W,127.5,O
Mar 2, 2013,SMU,69,UAB,74,L,-5.5,W,134.0,O
Mar 7, 2012,SMU,56,MARSH,74,L,-7.0,L,120.0,O
Mar 3, 2012,UTEP,48,SMU,57,W,-2.0,W,114.5,U
